"","res_id","date_gen","date_checkin","nights","guests","ori_id","agency_id","mean_price_per_night","status"
"41735",11467174,2021-08-22,2021-08-29,4,2,11,"Agencia_2",85.8075,"Cancelled"
"41736",10597663,2021-03-24,2021-04-04,1,2,11,"Agencia_2",29.99,"Cancelled"
"41737",11467318,2021-08-22,2021-08-29,3,3,11,"Agencia_2",74.6033333333333,"Cancelled"
"41738",10833100,2021-05-18,2021-05-21,3,2,11,"Agencia_2",55.6666666666667,"Confirmed"
"41739",10605966,2021-03-27,2021-03-27,2,1,11,"Agencia_2",40,"Cancelled"
"41740",10571441,2021-03-17,2021-03-27,1,2,11,"Agencia_2",29.99,"Cancelled"
"41741",10833631,2021-05-18,2021-05-22,2,1,11,"Agencia_2",55.8,"Cancelled"
"41742",10598495,2021-03-25,2021-04-30,2,2,11,"Agencia_2",66.605,"Confirmed"
"41743",10603141,2021-03-26,2021-04-10,2,2,11,"Agencia_2",45.995,"Cancelled"
"41744",10834005,2021-05-18,2021-05-28,1,2,11,"Agencia_2",29.99,"Cancelled"
"41745",10834154,2021-05-18,2021-05-28,2,2,11,"Agencia_2",61.205,"Confirmed"
"41746",10834167,2021-05-18,2021-08-10,5,2,11,"Agencia_2",75.936,"Cancelled"
"41747",10834170,2021-05-18,2021-05-28,1,2,11,"Agencia_2",29.99,"Cancelled"
"41748",10597729,2021-03-24,2021-03-25,1,2,11,"Agencia_2",29.99,"Cancelled"
"41749",10835451,2021-05-19,2021-06-25,2,2,11,"Agencia_2",29.995,"Cancelled"
"41750",10603329,2021-03-26,2021-07-01,4,2,11,"Agencia_2",113.06,"Cancelled"
"41751",10599557,2021-03-25,2021-05-01,1,2,11,"Agencia_2",29.99,"Cancelled"
"41752",10599758,2021-03-25,2021-03-30,2,2,11,"Agencia_2",58.445,"Cancelled"
"41753",10605510,2021-03-27,2021-04-05,2,3,11,"Agencia_2",47.005,"Confirmed"
"41754",10606312,2021-03-27,2021-03-29,1,2,11,"Agencia_2",65.99,"Cancelled"
"41755",10600469,2021-03-25,2021-04-02,1,2,11,"Agencia_2",29.99,"Cancelled"
